,Unnamed: 0.1,Unnamed: 0,Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Image URL
0,0,0,C001,C,Beth Israel Center,"1406 Mound St, Madison,  53711",Madison,Faith,62.0,3000.0,135835.0,SunVest/Solar Connections,2/23/18 0:00,43.06554444,-89.409403,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C001-BethIsrael-2.jpg
1,1,1,C002,C,Pilgrim United Church of Christ,"535 Stow Street, Fond du Lac, WI  54935",Fond du Lac,Faith,10.5,5200.0,25994.0,Energize,4/27/18 0:00,43.78835833,-88.426097,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C002-FLD-PilgrimUCC.jpg
2,2,2,C003,C,Liberation Park (Kevala),"17483 Kendall Ave, Norwalk 54648",Norwalk,Faith,12.0,6200.0,31020.0,Ethos,5/2/18 0:00,43.8439,-90.644928,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C003-LiberationPark.jpg
3,3,3,C004,C,North Pointe United Methodist Church,"3825 Erie St, Racine, 53402",Racine,Faith,19.8,9881.0,49405.0,Arch,5/2/18 0:00,42.76783611,-87.786269,
4,4,4,C005,C,Midwest Renewable Energy Association,"7558 Deer Road, Custer, WI, 54423",Custer,Adult Education,20.0,10000.0,65000.0,MREA - Trainers,6/29/18 0:00,44.50961667,-89.407072,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C005-MREA.jpg
5,5,5,C006,C,Escuela Verde (TransCenter),"3628 W Pierce St, Milwaukee, WI 53215",Milwaukee,Youth Services,20.3,10000.0,52374.0,SunVest,6/29/18 0:00,43.02379167,-87.959783,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C006-EscuelaVerde-roof.jpg
6,6,6,C007,C,Catholic Youth Expeditions,"3035 Obrien Rd, Baileys Harbor, WI  54202",Baileys Harbor,Youth Services,20.3,10000.0,54400.0,Eland Electric,7/25/18 0:00,45.02558611,-87.168739,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C007-CCBaileysHarbor2.jpg
7,7,7,C008,C,Project Home,"3841 Kipp St, Madison, 53718",Madison,Poverty alleviation,8.2,4000.0,24751.0,Convergence/Re-Volv,8/15/18 0:00,43.04251111,-89.282294,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C008-ProjectHome-1.jpg
8,8,8,C009,C,First Congregational Church in Oshkosh,"137 Algoma Blvd, Oshkosh, 54901",Oshkosh,Faith,19.3,10000.0,59750.0,Northwind,8/22/18 0:00,44.01831111,-88.539258,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C009-FCC-Oshkosh.jpg
9,9,9,C010,C,United Unitarian Universalist Church,"506 N. Washington Ave, Waukesha,  53188",Waukesha,Faith,10.1,5017.0,25087.0,Arch,8/27/18 0:00,43.01933333,-88.245331,
10,10,10,C011,C,Friends of Camp Anokijig Inc.,"W5639 Anokijig Ln, Plymouth, WI 53073",Plymouth,Youth Services,3.0,2000.0,12529.0,Arch,8/30/18 0:00,43.80573611,-87.974072,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C011-Camp-Anokijig.jpg
11,11,11,C012,C,"Sinsinawa Dominicans, Inc","585 County Road Z , Sinsinawa, 53824",Sinsinawa,Faith,250.0,20000.0,410764.0,Eagle Point Solar,11/6/18 0:00,42.52378889,-90.541292,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C012-Sinsinawa-2.jpg
12,12,12,C013,C,Veterans Outreach of Wisconsin,"1624 Yout St, Racine, 53404",Racine,Veterans,19.8,10000.0,52375.0,Arch,11/6/18 0:00,42.74600556,-87.801425,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C013-VetOutreach-1.jpg
13,13,13,C014,C,Heckrodt Wetland Reserve,"1305 Plank Rd., Menasha, WI 54952",Menasha,Conservation,19.6,10000.0,55750.0,Eland Electric Corporation,8/15/18 0:00,44.21042778,-88.420319,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C014-Heckrodt2.jpg
14,14,14,C015,C,Memorial United Church of Christ,"5705 Lacy Road, Fitchburg, WI 53711",Fitchburg,Faith,20.0,10000.0,50000.0,Midwest Solar Power,8/17/18 0:00,43.00072778,-89.438694,
15,15,15,C016,C,Community Homestead Incorporated,"501 280th St, Osceola, WI 54020",Osceola,Human Services,19.2,9000.0,45000.0,Legacy Solar,10/11/18 0:00,45.28366389,-92.730667,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C016CommunityHomestead-1.jpg
16,16,16,C017,C,VFW Post 8483,"5737 County Highway CV, Madison, WI 53704",Madison,Veterans,40.3,10000.0,81850.0,Midwest Solar Power,1/4/19 0:00,43.16260278,-89.335414,
17,17,17,C018,C,Pleasant Ridge Waldorf School,"413 E. Court Street, Viroqua, WI 54664",Viroqua,Education,10.5,5721.0,28605.0,Ethos Green Power LLC,1/28/19 0:00,43.55593056,-90.885042,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C018-PleasantRidge-Waldorf.jpg
