Unique ID,Status Code,Recipient,Site Address,City,Type,Size of Array (in kW),Value of grant,Value of Project,Installer,Commissioning Date,Latitude,Longitude,Incomplete Address,Image URL
C001,C,Beth Israel Center,"1406 Mound St, Madison, WI 53711",Madison,Faith,62.0,3000.0,135835.0,SunVest/Solar Connections,2018-02-23 00:00:00,43.065392306122455,-89.40972742857143,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C001-BethIsrael-2.jpg
C002,C,Pilgrim United Church of Christ,"535 Stow St, Fond du Lac, WI 54935",Fond du Lac,Faith,10.5,5200.0,25994.0,Energize,2018-04-27 00:00:00,43.78772328947368,-88.42626455263158,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C002-FLD-PilgrimUCC.jpg
C003,C,Liberation Park (Kevala),"17483 Kendall Ave, Norwalk, WI 54648",Norwalk,Faith,12.0,6200.0,31020.0,Ethos,2018-05-02 00:00:00,43.84448,-90.642159,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C003-LiberationPark.jpg
C004,C,North Pointe United Methodist Church,"3825 Erie St, Racine, WI 53402",Racine,Faith,19.8,9881.0,49405.0,Arch,2018-05-02 00:00:00,42.767611474747476,-87.78688193939394,FALSE,
C005,C,Midwest Renewable Energy Association,"7558 Deer Rd, Custer, WI 54423",Custer,Adult Education,20.0,10000.0,65000.0,MREA - Trainers,2018-06-29 00:00:00,44.507916762464234,-89.40796229180306,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C005-MREA.jpg
C006,C,Escuela Verde (TransCenter),"3628 W Pierce St, Milwaukee, WI 53215",Milwaukee,Youth Services,20.3,10000.0,52374.0,SunVest,2018-06-29 00:00:00,43.0237645,-87.9597784,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C006-EscuelaVerde-roof.jpg
C007,C,Catholic Youth Expeditions,"3035 O'Brien Rd, Baileys Harbor, WI 54202",Baileys Harbor,Youth Services,20.3,10000.0,54400.0,Eland Electric,2018-07-25 00:00:00,45.024747,-87.167459,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C007-CCBaileysHarbor2.jpg
C008,C,Project Home,"3841 Kipp St, Madison, WI 53718",Madison,Poverty alleviation,8.2,4000.0,24751.0,Convergence/Re-Volv,2018-08-15 00:00:00,43.043318526773184,-89.28494647204991,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C008-ProjectHome-1.jpg
C009,C,First Congregational Church in Oshkosh,"137 Algoma Blvd, Oshkosh, WI 54901",Oshkosh,Faith,19.3,10000.0,59750.0,Northwind,2018-08-22 00:00:00,44.01847816216216,-88.53912102702702,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C009-FCC-Oshkosh.jpg
C010,C,United Unitarian Universalist Church,"506 N Washington Ave, Waukesha, WI 53188",Waukesha,Faith,10.1,5017.0,25087.0,Arch,2018-08-27 00:00:00,43.01918622448979,-88.24502697959184,FALSE,
C011,C,Friends of Camp Anokijig Inc.,"W5639 Anokijig Ln, Plymouth, WI 53073",Plymouth,Youth Services,3.0,2000.0,12529.0,Arch,2018-08-30 00:00:00,43.80972215,-87.97051385778862,FALSE,https://couillardsolarfoundation.org/wp-content/uploads/2023/10/C011-Camp-Anokijig.jpg
